#Gene	Position	initial.pos	Final.pos
B3GALT2	chr1	191414799	191422347
B3GALT5	chr21	39850239	39956685
B3GNT1	chr11	65869419	65871737
B3GNT2	chr2	62276766	62305370
B3GNT3	chr19	17766658	17785385
B3GNT4	chr12	121254181	121258037
B3GNT5	chr3	184453726	184473873
B3GNT6	chr11	76423083	76430653
B4GALT1	chr9	33100642	33157231
B4GALT3	chr1	159407725	159413938
B4GALT4	chr3	120413277	120442442
C1GALT1	chr7	7240414	7250506
C1GALT1C1	chrX	119643562	119647969
FUT1_2	chr19	53891050	53950459
FUT10	chr8	33365956	33450206
FUT11	chr10	75202055	75205982
FUT12	chr20	30259357	30290128
FUT13	chr21	45508271	45532239
FUT4	chr11	93916775	93922712
FUT5_6	chr19	5781637	5821551
FUT7	chr9	139044447	139047283
FUT8	chr14	64947593	65279715
FUT9	chr6	96570590	96760477
GALNT1	chr18	31488594	31545792
GALNT10	chr5	153550488	153780003
GALNT11_15	chr7	151284444	151347945
GALNT12	chr9	100609802	100652180
GALNT13	chr2	154436712	155018734
GALNT14	chr2	30986837	31205994
GALNT18	chr11	11248999	11600128
GALNT2	chr1	228464239	228482595
GALNT3	chr2	166311570	166335456
B3GALT1	chr2	168383428	168435612
GALNT4	chr12	88437321	88442666
GALNT5	chr2	157822586	157876159
GALNT6	chr12	50032100	50071467
GALNT7_17	chr4	172971232	174481692
GALNT8	chr12	4700013	4752153
GALNT9	chr12	131246870	131415862
GALNTL1	chr14	68796668	68890936
GCNT1	chr9	78263966	78312152
GCNT2	chr6	10663935	10737587
GCNT3	chr15	57691275	57699494
GCNT4	chr5	74359045	74362480
OGT	chrX	70682292	70712465
SIAT1	chr3	188131210	188279035
SIAT10	chr3	99933842	99995926
SIAT4A	chr8	134540325	134653344
SIAT4B	chr16	68972810	68992042
SIAT4C	chr11	125731306	125789743
SIAT6	chr1	43974491	44169418
SIAT7A_B	chr17	72073077	72151489
SIAT7C_E	chr1	76312992	77302325
SIAT7D_F	chr9	129687422	129719126
SIAT8A	chr12	22245200	22378915
SIAT8B	chr15	90738144	90812962
SIAT8C	chr18	53170719	53187159
SIAT8D	chr5	100170803	100266869
SIAT8E	chr18	42513079	42591037
SIAT8F	chr10	17402682	17536260
SIAT9	chr2	85919782	85969668
WBSCR17	chr7	70235725	70816520
ABO	chr9	135120384	135140451
