#window.start	window.end	window.center	Gene	Population	nsnps.maf	maf,lower
168402253	168502253	168452253	B3GALT1	Adygei	17	0,529411765
65921040	66021040	65971040	B3GNT1	Adygei	10	0,5
65951040	66051040	66001040	B3GNT1	Adygei	13	0,692307692
65981040	66081040	66031040	B3GNT1	Adygei	15	0,666666667
66011040	66111040	66061040	B3GNT1	Adygei	19	0,526315789
62240589	62340589	62290589	B3GNT2	Adygei	16	0,5
184722970	184822970	184772970	B3GNT5	Adygei	20	0,65
184752970	184852970	184802970	B3GNT5	Adygei	20	0,65
184782970	184882970	184832970	B3GNT5	Adygei	17	0,705882353
76714680	76814680	76764680	B3GNT6	Adygei	8	0,5
32917013	33017013	32967013	B4GALT1	Adygei	26	0,5
33307013	33407013	33357013	B4GALT1	Adygei	12	0,583333333
120103382	120203382	120153382	B4GALT4	Adygei	13	0,538461538
7376187	7476187	7426187	C1GALT1	Adygei	24	0,625
7406187	7506187	7456187	C1GALT1	Adygei	23	0,565217391
7436187	7536187	7486187	C1GALT1	Adygei	25	0,64
7526187	7626187	7576187	C1GALT1	Adygei	18	0,555555556
53641528	53741528	53691528	FUT1_2	Adygei	6	0,666666667
94023691	94123691	94073691	FUT4	Adygei	32	0,53125
94053691	94153691	94103691	FUT4	Adygei	14	0,642857143
94083691	94183691	94133691	FUT4	Adygei	10	0,7
151334698	151434698	151384698	GALNT11_15	Adygei	6	0,666666667
151364698	151464698	151414698	GALNT11_15	Adygei	4	1
151394698	151494698	151444698	GALNT11_15	Adygei	3	0,666666667
228070183	228170183	228120183	GALNT2	Adygei	6	0,5
228100183	228200183	228150183	GALNT2	Adygei	8	0,75
228130183	228230183	228180183	GALNT2	Adygei	15	0,6
88218598	88318598	88268598	GALNT4	Adygei	21	0,619047619
88248598	88348598	88298598	GALNT4	Adygei	21	0,523809524
157822879	157922879	157872879	GALNT5	Adygei	11	0,636363636
157852879	157952879	157902879	GALNT5	Adygei	7	0,857142857
157882879	157982879	157932879	GALNT5	Adygei	7	1
157912879	158012879	157962879	GALNT5	Adygei	11	0,818181818
157942879	158042879	157992879	GALNT5	Adygei	17	0,764705882
157972879	158072879	158022879	GALNT5	Adygei	24	0,833333333
158002879	158102879	158052879	GALNT5	Adygei	19	0,684210526
158032879	158132879	158082879	GALNT5	Adygei	16	0,5625
49911968	50011968	49961968	GALNT6	Adygei	16	0,5
173783751	173883751	173833751	GALNT7_17	Adygei	17	0,529411765
173813751	173913751	173863751	GALNT7_17	Adygei	18	0,5
4453650	4553650	4503650	GALNT8	Adygei	15	0,666666667
130885942	130985942	130935942	GALNT9	Adygei	10	0,5
130915942	131015942	130965942	GALNT9	Adygei	8	0,625
130945942	131045942	130995942	GALNT9	Adygei	8	0,5
130975942	131075942	131025942	GALNT9	Adygei	7	0,714285714
131005942	131105942	131055942	GALNT9	Adygei	6	0,5
68997775	69097775	69047775	GALNTL1	Adygei	15	0,533333333
69027775	69127775	69077775	GALNTL1	Adygei	14	0,714285714
69057775	69157775	69107775	GALNTL1	Adygei	9	1
69087775	69187775	69137775	GALNTL1	Adygei	9	0,888888889
69117775	69217775	69167775	GALNTL1	Adygei	9	0,777777778
69147775	69247775	69197775	GALNTL1	Adygei	11	0,636363636
69177775	69277775	69227775	GALNTL1	Adygei	10	0,5
10746934	10846934	10796934	GCNT2	Adygei	12	0,5
74619815	74719815	74669815	GCNT4	Adygei	18	0,555555556
74649815	74749815	74699815	GCNT4	Adygei	16	0,5
74679815	74779815	74729815	GCNT4	Adygei	8	0,625
70526969	70626969	70576969	OGT	Adygei	1	1
70556969	70656969	70606969	OGT	Adygei	1	1
70586969	70686969	70636969	OGT	Adygei	4	0,5
70766969	70866969	70816969	OGT	Adygei	3	0,666666667
70796969	70896969	70846969	OGT	Adygei	2	1
70856969	70956969	70906969	OGT	Adygei	1	1
70886969	70986969	70936969	OGT	Adygei	1	1
70916969	71016969	70966969	OGT	Adygei	3	1
70946969	71046969	70996969	OGT	Adygei	3	0,666666667
70976969	71076969	71026969	OGT	Adygei	6	0,5
71006969	71106969	71056969	OGT	Adygei	10	0,6
77037338	77137338	77087338	SIAT7C_E	Adygei	17	0,588235294
77337338	77437338	77387338	SIAT7C_E	Adygei	7	0,571428571
77367338	77467338	77417338	SIAT7C_E	Adygei	8	0,75
77397338	77497338	77447338	SIAT7C_E	Adygei	20	0,5
22607968	22707968	22657968	SIAT8A	Adygei	7	0,571428571
100010916	100110916	100060916	SIAT8D	Adygei	16	0,625
100040916	100140916	100090916	SIAT8D	Adygei	17	0,705882353
100070916	100170916	100120916	SIAT8D	Adygei	18	0,777777778
100100916	100200916	100150916	SIAT8D	Adygei	17	0,588235294
70047650	70147650	70097650	WBSCR17	Adygei	16	0,5
191142115	191242115	191192115	B3GALT2	Balochi	14	0,5
191172115	191272115	191222115	B3GALT2	Balochi	6	0,833333333
66131040	66231040	66181040	B3GNT1	Balochi	4	0,5
61970589	62070589	62020589	B3GNT2	Balochi	6	0,5
62000589	62100589	62050589	B3GNT2	Balochi	7	0,571428571
184722970	184822970	184772970	B3GNT5	Balochi	20	0,55
184752970	184852970	184802970	B3GNT5	Balochi	20	0,6
184782970	184882970	184832970	B3GNT5	Balochi	17	0,647058824
32917013	33017013	32967013	B4GALT1	Balochi	28	0,607142857
32947013	33047013	32997013	B4GALT1	Balochi	32	0,625
32977013	33077013	33027013	B4GALT1	Balochi	34	0,558823529
33217013	33317013	33267013	B4GALT1	Balochi	11	0,727272727
33247013	33347013	33297013	B4GALT1	Balochi	8	0,625
159551585	159651585	159601585	B4GALT3	Balochi	10	0,6
120103382	120203382	120153382	B4GALT4	Balochi	15	0,6
120133382	120233382	120183382	B4GALT4	Balochi	16	0,5
74985452	75085452	75035452	FUT11	Balochi	5	0,6
75015452	75115452	75065452	FUT11	Balochi	6	0,5
75525452	75625452	75575452	FUT11	Balochi	6	0,5
30162171	30262171	30212171	FUT12	Balochi	9	0,555555556
30192171	30292171	30242171	FUT12	Balochi	9	0,666666667
30222171	30322171	30272171	FUT12	Balochi	6	0,5
30252171	30352171	30302171	FUT12	Balochi	6	0,5
30402171	30502171	30452171	FUT12	Balochi	3	0,666666667
30432171	30532171	30482171	FUT12	Balochi	4	0,5
30462171	30562171	30512171	FUT12	Balochi	12	0,5
30492171	30592171	30542171	FUT12	Balochi	14	0,5
30522171	30622171	30572171	FUT12	Balochi	16	0,5
53641528	53741528	53691528	FUT1_2	Balochi	6	0,5
5592265	5692265	5642265	FUT5_6	Balochi	8	0,5
138804524	138904524	138854524	FUT7	Balochi	10	0,5
64938701	65038701	64988701	FUT8	Balochi	16	0,5
64968701	65068701	65018701	FUT8	Balochi	11	0,636363636
64998701	65098701	65048701	FUT8	Balochi	13	0,538461538
65178701	65278701	65228701	FUT8	Balochi	10	0,5
151334698	151434698	151384698	GALNT11_15	Balochi	8	0,75
151364698	151464698	151414698	GALNT11_15	Balochi	6	1
151394698	151494698	151444698	GALNT11_15	Balochi	7	1
151424698	151524698	151474698	GALNT11_15	Balochi	9	0,777777778
151454698	151554698	151504698	GALNT11_15	Balochi	9	0,777777778
151484698	151584698	151534698	GALNT11_15	Balochi	7	0,714285714
151514698	151614698	151564698	GALNT11_15	Balochi	3	0,666666667
151544698	151644698	151594698	GALNT11_15	Balochi	1	1
151574698	151674698	151624698	GALNT11_15	Balochi	9	1
151604698	151704698	151654698	GALNT11_15	Balochi	12	0,916666667
151634698	151734698	151684698	GALNT11_15	Balochi	12	0,916666667
100902055	101002055	100952055	GALNT12	Balochi	16	0,5625
100932055	101032055	100982055	GALNT12	Balochi	13	0,615384615
100962055	101062055	101012055	GALNT12	Balochi	13	0,615384615
228070183	228170183	228120183	GALNT2	Balochi	14	0,785714286
228100183	228200183	228150183	GALNT2	Balochi	10	0,8
228130183	228230183	228180183	GALNT2	Balochi	17	0,647058824
228160183	228260183	228210183	GALNT2	Balochi	18	0,611111111
228190183	228290183	228240183	GALNT2	Balochi	20	0,55
228370183	228470183	228420183	GALNT2	Balochi	21	0,619047619
88458598	88558598	88508598	GALNT4	Balochi	16	0,5
88488598	88588598	88538598	GALNT4	Balochi	16	0,5625
88518598	88618598	88568598	GALNT4	Balochi	15	0,6
88548598	88648598	88598598	GALNT4	Balochi	13	0,615384615
88608598	88708598	88658598	GALNT4	Balochi	13	0,538461538
88638598	88738598	88688598	GALNT4	Balochi	13	0,538461538
157432879	157532879	157482879	GALNT5	Balochi	16	0,5
157792879	157892879	157842879	GALNT5	Balochi	14	0,714285714
157822879	157922879	157872879	GALNT5	Balochi	13	0,692307692
157852879	157952879	157902879	GALNT5	Balochi	8	0,75
172673751	172773751	172723751	GALNT7_17	Balochi	25	0,56
173483751	173583751	173533751	GALNT7_17	Balochi	15	0,533333333
173513751	173613751	173563751	GALNT7_17	Balochi	16	0,625
173543751	173643751	173593751	GALNT7_17	Balochi	14	0,642857143
173783751	173883751	173833751	GALNT7_17	Balochi	17	0,588235294
173813751	173913751	173863751	GALNT7_17	Balochi	18	0,611111111
174383751	174483751	174433751	GALNT7_17	Balochi	10	0,5
10716934	10816934	10766934	GCNT2	Balochi	16	0,5
10746934	10846934	10796934	GCNT2	Balochi	11	0,545454545
70526969	70626969	70576969	OGT	Balochi	1	1
70556969	70656969	70606969	OGT	Balochi	1	1
70586969	70686969	70636969	OGT	Balochi	4	0,5
70676969	70776969	70726969	OGT	Balochi	4	0,5
70946969	71046969	70996969	OGT	Balochi	6	0,5
77367338	77467338	77417338	SIAT7C_E	Balochi	9	0,555555556
22607968	22707968	22657968	SIAT8A	Balochi	8	0,625
53072681	53172681	53122681	SIAT8C	Balochi	19	0,526315789
70047650	70147650	70097650	WBSCR17	Balochi	16	0,5
66011040	66111040	66061040	B3GNT1	Bantu	16	0,5
66041040	66141040	66091040	B3GNT1	Bantu	9	0,777777778
66071040	66171040	66121040	B3GNT1	Bantu	9	0,777777778
66101040	66201040	66151040	B3GNT1	Bantu	3	0,666666667
66131040	66231040	66181040	B3GNT1	Bantu	4	0,5
62090589	62190589	62140589	B3GNT2	Bantu	6	0,5
62120589	62220589	62170589	B3GNT2	Bantu	6	0,5
121461370	121561370	121511370	B3GNT4	Bantu	8	0,5
121521370	121621370	121571370	B3GNT4	Bantu	10	0,5
76354680	76454680	76404680	B3GNT6	Bantu	10	0,6
159311585	159411585	159361585	B4GALT3	Bantu	6	0,5
119877737	119977737	119927737	C1GALT1C1	Bantu	4	0,5
119907737	120007737	119957737	C1GALT1C1	Bantu	6	0,666666667
119937737	120037737	119987737	C1GALT1C1	Bantu	9	0,666666667
119967737	120067737	120017737	C1GALT1C1	Bantu	8	0,75
