window.start	window.end	window.center	Gene	Population	nsnps,daf	daf,upper
66131040	66231040	66181040	B3GNT1	Adygei	2,000	0,500
121251370	121351370	121301370	B3GNT4	Adygei	6,000	0,667
121281370	121381370	121331370	B3GNT4	Adygei	9,000	0,444
184722970	184822970	184772970	B3GNT5	Adygei	21,000	0,476
184752970	184852970	184802970	B3GNT5	Adygei	21,000	0,571
184782970	184882970	184832970	B3GNT5	Adygei	17,000	0,647
7496187	7596187	7546187	C1GALT1	Adygei	22,000	0,455
7526187	7626187	7576187	C1GALT1	Adygei	19,000	0,632
119847737	119947737	119897737	C1GALT1C1	Adygei	2,000	0,500
74805452	74905452	74855452	FUT11	Adygei	5,000	0,600
74835452	74935452	74885452	FUT11	Adygei	4,000	0,500
74865452	74965452	74915452	FUT11	Adygei	4,000	0,500
74895452	74995452	74945452	FUT11	Adygei	4,000	0,500
74985452	75085452	75035452	FUT11	Adygei	6,000	0,500
75015452	75115452	75065452	FUT11	Adygei	7,000	0,571
75045452	75145452	75095452	FUT11	Adygei	5,000	0,600
75075452	75175452	75125452	FUT11	Adygei	5,000	0,600
94083691	94183691	94133691	FUT4	Adygei	12,000	0,500
94203691	94303691	94253691	FUT4	Adygei	11,000	0,455
151334698	151434698	151384698	GALNT11_15	Adygei	6,000	0,500
151364698	151464698	151414698	GALNT11_15	Adygei	4,000	0,750
151394698	151494698	151444698	GALNT11_15	Adygei	4,000	0,500
151424698	151524698	151474698	GALNT11_15	Adygei	5,000	0,600
151454698	151554698	151504698	GALNT11_15	Adygei	6,000	0,667
151484698	151584698	151534698	GALNT11_15	Adygei	5,000	0,600
151514698	151614698	151564698	GALNT11_15	Adygei	2,000	0,500
151544698	151644698	151594698	GALNT11_15	Adygei	1,000	1,000
151574698	151674698	151624698	GALNT11_15	Adygei	9,000	0,889
151604698	151704698	151654698	GALNT11_15	Adygei	12,000	0,917
151634698	151734698	151684698	GALNT11_15	Adygei	12,000	0,917
100962055	101062055	101012055	GALNT12	Adygei	11,000	0,545
228070183	228170183	228120183	GALNT2	Adygei	11,000	0,727
228100183	228200183	228150183	GALNT2	Adygei	11,000	0,636
157792879	157892879	157842879	GALNT5	Adygei	14,000	0,571
157822879	157922879	157872879	GALNT5	Adygei	13,000	0,615
157852879	157952879	157902879	GALNT5	Adygei	9,000	0,667
157882879	157982879	157932879	GALNT5	Adygei	9,000	0,444
157912879	158012879	157962879	GALNT5	Adygei	13,000	0,462
157942879	158042879	157992879	GALNT5	Adygei	18,000	0,444
