# window.start	window.end	window.center	Gene	Population	nsnps,daf	daf,lower
167982253	168082253	168032253	B3GALT1	Adygei	9	0.333333333
168012253	168112253	168062253	B3GALT1	Adygei	10	0.3
168042253	168142253	168092253	B3GALT1	Adygei	13	0.230769231
168072253	168172253	168122253	B3GALT1	Adygei	20	0.3
168102253	168202253	168152253	B3GALT1	Adygei	23	0.260869565
168132253	168232253	168182253	B3GALT1	Adygei	26	0.153846154
168162253	168262253	168212253	B3GALT1	Adygei	28	0.142857143
168192253	168292253	168242253	B3GALT1	Adygei	33	0.212121212
168222253	168322253	168272253	B3GALT1	Adygei	40	0.225
168252253	168352253	168302253	B3GALT1	Adygei	39	0.230769231
168282253	168382253	168332253	B3GALT1	Adygei	39	0.230769231
168312253	168412253	168362253	B3GALT1	Adygei	24	0.291666667
168342253	168442253	168392253	B3GALT1	Adygei	24	0.416666667
168372253	168472253	168422253	B3GALT1	Adygei	17	0.470588235
168402253	168502253	168452253	B3GALT1	Adygei	17	0.529411765
168432253	168532253	168482253	B3GALT1	Adygei	17	0.529411765
168462253	168562253	168512253	B3GALT1	Adygei	17	0.470588235
168492253	168592253	168542253	B3GALT1	Adygei	15	0.4
168522253	168622253	168572253	B3GALT1	Adygei	16	0.3125
168552253	168652253	168602253	B3GALT1	Adygei	16	0.1875
168582253	168682253	168632253	B3GALT1	Adygei	18	0.166666667
168612253	168712253	168662253	B3GALT1	Adygei	23	0.173913043
168642253	168742253	168692253	B3GALT1	Adygei	32	0.21875
168672253	168772253	168722253	B3GALT1	Adygei	27	0.222222222
168702253	168802253	168752253	B3GALT1	Adygei	27	0.185185185
168732253	168832253	168782253	B3GALT1	Adygei	19	0.263157895
191022115	191122115	191072115	B3GALT2	Adygei	16	0.25
191052115	191152115	191102115	B3GALT2	Adygei	10	0
191082115	191182115	191132115	B3GALT2	Adygei	15	0.066666667
191112115	191212115	191162115	B3GALT2	Adygei	16	0.125
191142115	191242115	191192115	B3GALT2	Adygei	13	0.153846154
191172115	191272115	191222115	B3GALT2	Adygei	6	0.333333333
191202115	191302115	191252115	B3GALT2	Adygei	5	0.4
191232115	191332115	191282115	B3GALT2	Adygei	4	0.5
191262115	191362115	191312115	B3GALT2	Adygei	3	0.333333333
191292115	191392115	191342115	B3GALT2	Adygei	2	0.5
191322115	191422115	191372115	B3GALT2	Adygei	5	0.2
191352115	191452115	191402115	B3GALT2	Adygei	7	0.285714286
191382115	191482115	191432115	B3GALT2	Adygei	9	0.333333333
191412115	191512115	191462115	B3GALT2	Adygei	6	0.5
191442115	191542115	191492115	B3GALT2	Adygei	6	0.666666667
191472115	191572115	191522115	B3GALT2	Adygei	9	0.444444444
191502115	191602115	191552115	B3GALT2	Adygei	10	0.4
191532115	191632115	191582115	B3GALT2	Adygei	9	0.333333333
191562115	191662115	191612115	B3GALT2	Adygei	8	0.25
191592115	191692115	191642115	B3GALT2	Adygei	6	0.166666667
191622115	191722115	191672115	B3GALT2	Adygei	17	0.411764706
191652115	191752115	191702115	B3GALT2	Adygei	24	0.375
191682115	191782115	191732115	B3GALT2	Adygei	26	0.346153846
191712115	191812115	191762115	B3GALT2	Adygei	20	0.25
191742115	191842115	191792115	B3GALT2	Adygei	11	0.181818182
39458604	39558604	39508604	B3GALT5	Adygei	11	0.545454545
39488604	39588604	39538604	B3GALT5	Adygei	9	0.555555556
39518604	39618604	39568604	B3GALT5	Adygei	7	0.285714286
39548604	39648604	39598604	B3GALT5	Adygei	12	0.166666667
39578604	39678604	39628604	B3GALT5	Adygei	12	0.166666667
39608604	39708604	39658604	B3GALT5	Adygei	18	0.111111111
39638604	39738604	39688604	B3GALT5	Adygei	17	0.235294118
39668604	39768604	39718604	B3GALT5	Adygei	20	0.3
39698604	39798604	39748604	B3GALT5	Adygei	18	0.5
39728604	39828604	39778604	B3GALT5	Adygei	23	0.47826087
39758604	39858604	39808604	B3GALT5	Adygei	25	0.44
39788604	39888604	39838604	B3GALT5	Adygei	28	0.392857143
39818604	39918604	39868604	B3GALT5	Adygei	34	0.352941176
39848604	39948604	39898604	B3GALT5	Adygei	31	0.322580645
