#window.start	window.end	window.center	Gene	Population	nsnps.maf	maf,upper
76264680	76364680	76314680	B3GNT6	Adygei	5	1,00
151514698	151614698	151564698	GALNT11_15	Adygei	1	1,00
42654475	42754475	42704475	SIAT8E	Adygei	4	1,00
42684475	42784475	42734475	SIAT8E	Adygei	4	1,00
42714475	42814475	42764475	SIAT8E	Adygei	4	1,00
76264680	76364680	76314680	B3GNT6	Balochi	5	1,00
70376969	70476969	70426969	OGT	Balochi	1	1,00
70406969	70506969	70456969	OGT	Balochi	1	1,00
70436969	70536969	70486969	OGT	Balochi	1	1,00
70856969	70956969	70906969	OGT	Bantu	1	1,00
70886969	70986969	70936969	OGT	Bantu	1	1,00
151514698	151614698	151564698	GALNT11_15	Basque	1	1,00
68681490	68781490	68731490	SIAT4B	Basque	1	1,00
70376969	70476969	70426969	OGT	Biaka.Pygmies	1	1,00
42714475	42814475	42764475	SIAT8E	Brahui	4	1,00
30372171	30472171	30422171	FUT12	Cambodian	3	1,00
30402171	30502171	30452171	FUT12	Cambodian	3	1,00
97073842	97173842	97123842	FUT9	Cambodian	2	1,00
70856969	70956969	70906969	OGT	Cambodian	1	1,00
70886969	70986969	70936969	OGT	Cambodian	1	1,00
191292115	191392115	191342115	B3GALT2	Colombian	2	1,00
191412115	191512115	191462115	B3GALT2	Colombian	2	1,00
191442115	191542115	191492115	B3GALT2	Colombian	2	1,00
191472115	191572115	191522115	B3GALT2	Colombian	5	1,00
191502115	191602115	191552115	B3GALT2	Colombian	6	1,00
191532115	191632115	191582115	B3GALT2	Colombian	6	1,00
76264680	76364680	76314680	B3GNT6	Colombian	5	1,00
159041585	159141585	159091585	B4GALT3	Colombian	21	1,00
159071585	159171585	159121585	B4GALT3	Colombian	19	1,00
138834524	138934524	138884524	FUT7	Colombian	7	1,00
31466900	31566900	31516900	GALNT14	Colombian	7	1,00
158002879	158102879	158052879	GALNT5	Colombian	10	1,00
158032879	158132879	158082879	GALNT5	Colombian	10	1,00
131425942	131525942	131475942	GALNT9	Colombian	1	1,00
68937775	69037775	68987775	GALNTL1	Colombian	7	1,00
68967775	69067775	69017775	GALNTL1	Colombian	5	1,00
68997775	69097775	69047775	GALNTL1	Colombian	5	1,00
69027775	69127775	69077775	GALNTL1	Colombian	3	1,00
69087775	69187775	69137775	GALNTL1	Colombian	1	1,00
69117775	69217775	69167775	GALNTL1	Colombian	2	1,00
69147775	69247775	69197775	GALNTL1	Colombian	4	1,00
69177775	69277775	69227775	GALNTL1	Colombian	3	1,00
57954828	58054828	58004828	GCNT3	Colombian	1	1,00
57984828	58084828	58034828	GCNT3	Colombian	3	1,00
58014828	58114828	58064828	GCNT3	Colombian	4	1,00
70796969	70896969	70846969	OGT	Colombian	1	1,00
70856969	70956969	70906969	OGT	Colombian	1	1,00
70886969	70986969	70936969	OGT	Colombian	1	1,00
70916969	71016969	70966969	OGT	Colombian	3	1,00
70946969	71046969	70996969	OGT	Colombian	3	1,00
70976969	71076969	71026969	OGT	Colombian	5	1,00
71006969	71106969	71056969	OGT	Colombian	8	1,00
99995776	100095776	100045776	SIAT10	Colombian	3	1,00
100025776	100125776	100075776	SIAT10	Colombian	2	1,00
100055776	100155776	100105776	SIAT10	Colombian	3	1,00
100085776	100185776	100135776	SIAT10	Colombian	4	1,00
100115776	100215776	100165776	SIAT10	Colombian	7	1,00
100145776	100245776	100195776	SIAT10	Colombian	8	1,00
100175776	100275776	100225776	SIAT10	Colombian	9	1,00
22367968	22467968	22417968	SIAT8A	Colombian	1	1,00
22427968	22527968	22477968	SIAT8A	Colombian	1	1,00
22457968	22557968	22507968	SIAT8A	Colombian	2	1,00
22487968	22587968	22537968	SIAT8A	Colombian	2	1,00
22517968	22617968	22567968	SIAT8A	Colombian	3	1,00
22547968	22647968	22597968	SIAT8A	Colombian	2	1,00
151514698	151614698	151564698	GALNT11_15	Druze	1	1,00
191292115	191392115	191342115	B3GALT2	Han	2	1,00
191442115	191542115	191492115	B3GALT2	Han	2	1,00
70856969	70956969	70906969	OGT	Han	1	1,00
70886969	70986969	70936969	OGT	Han	1	1,00
191202115	191302115	191252115	B3GALT2	Japanese	3	1,00
191232115	191332115	191282115	B3GALT2	Japanese	3	1,00
191262115	191362115	191312115	B3GALT2	Japanese	3	1,00
191292115	191392115	191342115	B3GALT2	Japanese	2	1,00
191322115	191422115	191372115	B3GALT2	Japanese	4	1,00
191352115	191452115	191402115	B3GALT2	Japanese	4	1,00
191382115	191482115	191432115	B3GALT2	Japanese	5	1,00
191412115	191512115	191462115	B3GALT2	Japanese	2	1,00
191442115	191542115	191492115	B3GALT2	Japanese	2	1,00
191472115	191572115	191522115	B3GALT2	Japanese	5	1,00
191502115	191602115	191552115	B3GALT2	Japanese	6	1,00
191532115	191632115	191582115	B3GALT2	Japanese	6	1,00
121371370	121471370	121421370	B3GNT4	Japanese	3	1,00
191322115	191422115	191372115	B3GALT2	Kalash	4	1,00
33549383	33649383	33599383	FUT10	Kalash	8	1,00
33579383	33679383	33629383	FUT10	Kalash	7	1,00
30282171	30382171	30332171	FUT12	Kalash	5	1,00
166246007	166346007	166296007	GALNT3	Kalash	7	1,00
70376969	70476969	70426969	OGT	Kalash	1	1,00
70406969	70506969	70456969	OGT	Kalash	1	1,00
70436969	70536969	70486969	OGT	Kalash	1	1,00
42654475	42754475	42704475	SIAT8E	Kalash	4	1,00
