#window.start	window.end	window.center	Gene	Population	nsnps,daf	daf,lower
70376969	70476969	70426969	OGT	Basque	1	1,00
30402171	30502171	30452171	FUT12	Bedouin	3	1,00
131425942	131525942	131475942	GALNT9	Bedouin	1	1,00
131425942	131525942	131475942	GALNT9	Biaka.Pygmies	1	1,00
131425942	131525942	131475942	GALNT9	Cambodian	1	1,00
70376969	70476969	70426969	OGT	Colombian	1	1,00
70406969	70506969	70456969	OGT	Colombian	1	1,00
70436969	70536969	70486969	OGT	Colombian	1	1,00
70526969	70626969	70576969	OGT	Druze	1	1,00
70556969	70656969	70606969	OGT	Druze	1	1,00
131425942	131525942	131475942	GALNT9	Han	1	1,00
131425942	131525942	131475942	GALNT9	Hazara	1	1,00
100430916	100530916	100480916	SIAT8D	Karitiana	4	1,00
70376969	70476969	70426969	OGT	Makrani	1	1,00
131425942	131525942	131475942	GALNT9	Mandenka	1	1,00
70466969	70566969	70516969	OGT	Mandenka	2	1,00
70496969	70596969	70546969	OGT	Mandenka	1	1,00
99995776	100095776	100045776	SIAT10	Mbuti.Pygmies	3	1,00
100025776	100125776	100075776	SIAT10	Mbuti.Pygmies	2	1,00
99800916	99900916	99850916	SIAT8D	Mbuti.Pygmies	3	1,00
131425942	131525942	131475942	GALNT9	Mozabite	1	1,00
70526969	70626969	70576969	OGT	Mozabite	1	1,00
70556969	70656969	70606969	OGT	Mozabite	1	1,00
70526969	70626969	70576969	OGT	North.Italy	1	1,00
70556969	70656969	70606969	OGT	North.Italy	1	1,00
131425942	131525942	131475942	GALNT9	Palestinian	1	1,00
70376969	70476969	70426969	OGT	Palestinian	1	1,00
131425942	131525942	131475942	GALNT9	Pathan	1	1,00
70376969	70476969	70426969	OGT	Pathan	1	1,00
70676969	70776969	70726969	OGT	Pima	2	1,00
70376969	70476969	70426969	OGT	Russian	1	1,00
70406969	70506969	70456969	OGT	Russian	1	1,00
70436969	70536969	70486969	OGT	Russian	1	1,00
70526969	70626969	70576969	OGT	Russian	1	1,00
70556969	70656969	70606969	OGT	Russian	1	1,00
191232115	191332115	191282115	B3GALT2	San	1	1,00
191262115	191362115	191312115	B3GALT2	San	1	1,00
61970589	62070589	62020589	B3GNT2	San	3	1,00
159341585	159441585	159391585	B4GALT3	San	4	1,00
75105452	75205452	75155452	FUT11	San	2	1,00
64998701	65098701	65048701	FUT8	San	4	1,00
65118701	65218701	65168701	FUT8	San	5	1,00
154055529	154155529	154105529	GALNT10	San	1	1,00
151544698	151644698	151594698	GALNT11_15	San	1	1,00
151574698	151674698	151624698	GALNT11_15	San	8	1,00
130945942	131045942	130995942	GALNT9	San	2	1,00
130975942	131075942	131025942	GALNT9	San	3	1,00
131005942	131105942	131055942	GALNT9	San	2	1,00
131425942	131525942	131475942	GALNT9	San	1	1,00
74499815	74599815	74549815	GCNT4	San	3	1,00
74529815	74629815	74579815	GCNT4	San	2	1,00
70376969	70476969	70426969	OGT	San	1	1,00
70406969	70506969	70456969	OGT	San	1	1,00
70586969	70686969	70636969	OGT	San	1	1,00
70616969	70716969	70666969	OGT	San	1	1,00
70646969	70746969	70696969	OGT	San	1	1,00
100025776	100125776	100075776	SIAT10	San	1	1,00
68861490	68961490	68911490	SIAT4B	San	1	1,00
68891490	68991490	68941490	SIAT4B	San	1	1,00
44385707	44485707	44435707	SIAT6	San	3	1,00
53042681	53142681	53092681	SIAT8C	San	10	1,00
99830916	99930916	99880916	SIAT8D	San	1	1,00
100130916	100230916	100180916	SIAT8D	San	5	1,00
17844449	17944449	17894449	SIAT8F	San	1	1,00
70376969	70476969	70426969	OGT	Sardinian	1	1,00
70406969	70506969	70456969	OGT	Sardinian	1	1,00
70436969	70536969	70486969	OGT	Sardinian	1	1,00
70496969	70596969	70546969	OGT	Sindhi	1	1,00
70376969	70476969	70426969	OGT	South.China	1	1,00
70406969	70506969	70456969	OGT	South.China	1	1,00
70436969	70536969	70486969	OGT	South.China	1	1,00
100340916	100440916	100390916	SIAT8D	Surui	6	1,00
100370916	100470916	100420916	SIAT8D	Surui	4	1,00
100400916	100500916	100450916	SIAT8D	Surui	4	1,00
100430916	100530916	100480916	SIAT8D	Surui	3	1,00
100460916	100560916	100510916	SIAT8D	Surui	3	1,00
131425942	131525942	131475942	GALNT9	Yoruba	1	1,00
151574698	151674698	151624698	GALNT11_15	Biaka.Pygmies	9	1,00
64998701	65098701	65048701	FUT8	Japanese	6	1,00
100400916	100500916	100450916	SIAT8D	Karitiana	6	1,00
151604698	151704698	151654698	GALNT11_15	Biaka.Pygmies	12	1,00
62090589	62190589	62140589	B3GNT2	Biaka.Pygmies	4	1,00
119517737	119617737	119567737	C1GALT1C1	Biaka.Pygmies	4	1,00
74499815	74599815	74549815	GCNT4	Biaka.Pygmies	4	1,00
100370916	100470916	100420916	SIAT8D	Karitiana	8	1,00
30432171	30532171	30482171	FUT12	Druze	3	1,00
100460916	100560916	100510916	SIAT8D	Karitiana	4	1,00
75045452	75145452	75095452	FUT11	Mbuti.Pygmies	4	1,00
30432171	30532171	30482171	FUT12	North.Italy	3	1,00
75075452	75175452	75125452	FUT11	Surui	4	1,00
159671585	159771585	159721585	B4GALT3	Mbuti.Pygmies	6	1,00
100340916	100440916	100390916	SIAT8D	Karitiana	9	1,00
70406969	70506969	70456969	OGT	Bantu	3	1,00
30402171	30502171	30452171	FUT12	Papuan	3	1,00
30402171	30502171	30452171	FUT12	Mandenka	5	1,00
62090589	62190589	62140589	B3GNT2	Mbuti.Pygmies	4	1,00
121581370	121681370	121631370	B3GNT4	Mbuti.Pygmies	4	1,00
75075452	75175452	75125452	FUT11	Mbuti.Pygmies	5	1,00
74499815	74599815	74549815	GCNT4	Yoruba	4	1,00
70376969	70476969	70426969	OGT	Bantu	2	1,00
70406969	70506969	70456969	OGT	Basque	2	1,00
70376969	70476969	70426969	OGT	Bedouin	2	1,00
151544698	151644698	151594698	GALNT11_15	Biaka.Pygmies	2	1,00
100025776	100125776	100075776	SIAT10	Biaka.Pygmies	4	1,00
120951370	121051370	121001370	B3GNT4	Colombian	2	1,00
70676969	70776969	70726969	OGT	Colombian	2	1,00
70406969	70506969	70456969	OGT	Makrani	2	1,00
70436969	70536969	70486969	OGT	Mandenka	4	1,00
151544698	151644698	151594698	GALNT11_15	Mbuti.Pygmies	2	1,00
70406969	70506969	70456969	OGT	Palestinian	2	1,00
70406969	70506969	70456969	OGT	Pathan	2	1,00
70466969	70566969	70516969	OGT	Sindhi	2	1,00
64998701	65098701	65048701	FUT8	Han	5	1,00
100025776	100125776	100075776	SIAT10	Yoruba	5	1,00
64998701	65098701	65048701	FUT8	Pathan	9	1,00
70436969	70536969	70486969	OGT	Basque	3	1,00
70406969	70506969	70456969	OGT	Bedouin	3	1,00
74529815	74629815	74579815	GCNT4	Biaka.Pygmies	3	1,00
68861490	68961490	68911490	SIAT4B	Biaka.Pygmies	3	1,00
68891490	68991490	68941490	SIAT4B	Biaka.Pygmies	3	1,00
70436969	70536969	70486969	OGT	Makrani	3	1,00
70406969	70506969	70456969	OGT	Mandenka	3	1,00
70676969	70776969	70726969	OGT	Maya	3	1,00
44415707	44515707	44465707	SIAT6	Mbuti.Pygmies	6	1,00
70436969	70536969	70486969	OGT	Palestinian	3	1,00
70436969	70536969	70486969	OGT	Pathan	3	1,00
74529815	74629815	74579815	GCNT4	Yoruba	3	1,00
99995776	100095776	100045776	SIAT10	Biaka.Pygmies	6	1,00
64998701	65098701	65048701	FUT8	Pima	5	1,00
70436969	70536969	70486969	OGT	Bedouin	4	1,00
44385707	44485707	44435707	SIAT6	Mbuti.Pygmies	4	1,00
64998701	65098701	65048701	FUT8	Yakut	7	1,00
64998701	65098701	65048701	FUT8	Hazara	9	1,00
70526969	70626969	70576969	OGT	Adygei	1	1,00
70556969	70656969	70606969	OGT	Adygei	1	1,00
70526969	70626969	70576969	OGT	Balochi	1	1,00
70556969	70656969	70606969	OGT	Balochi	1	1,00
70466969	70566969	70516969	OGT	Basque	2	1,00
70496969	70596969	70546969	OGT	Basque	1	1,00
70526969	70626969	70576969	OGT	Basque	1	1,00
70556969	70656969	70606969	OGT	Basque	1	1,00
70466969	70566969	70516969	OGT	Bedouin	2	1,00
70496969	70596969	70546969	OGT	Bedouin	1	1,00
70526969	70626969	70576969	OGT	Bedouin	1	1,00
70556969	70656969	70606969	OGT	Bedouin	1	1,00
70466969	70566969	70516969	OGT	Brahui	2	1,00
70496969	70596969	70546969	OGT	Brahui	1	1,00
70526969	70626969	70576969	OGT	Burusho	1	1,00
70556969	70656969	70606969	OGT	Burusho	1	1,00
64998701	65098701	65048701	FUT8	Cambodian	7	1,00
70526969	70626969	70576969	OGT	French	1	1,00
70556969	70656969	70606969	OGT	French	1	1,00
70526969	70626969	70576969	OGT	Hazara	1	1,00
70556969	70656969	70606969	OGT	Hazara	1	1,00
70526969	70626969	70576969	OGT	Kalash	1	1,00
70556969	70656969	70606969	OGT	Kalash	1	1,00
70466969	70566969	70516969	OGT	Makrani	2	1,00
70496969	70596969	70546969	OGT	Makrani	1	1,00
70526969	70626969	70576969	OGT	Makrani	1	1,00
70556969	70656969	70606969	OGT	Makrani	1	1,00
70376969	70476969	70426969	OGT	Mandenka	2	1,00
70376969	70476969	70426969	OGT	Maya	1	1,00
70406969	70506969	70456969	OGT	Maya	1	1,00
70436969	70536969	70486969	OGT	Maya	1	1,00
70526969	70626969	70576969	OGT	Maya	1	1,00
70556969	70656969	70606969	OGT	Maya	1	1,00
74805452	74905452	74855452	FUT11	Mbuti.Pygmies	3	1,00
74529815	74629815	74579815	GCNT4	Mbuti.Pygmies	2	1,00
68861490	68961490	68911490	SIAT4B	Mbuti.Pygmies	2	1,00
68891490	68991490	68941490	SIAT4B	Mbuti.Pygmies	2	1,00
70376969	70476969	70426969	OGT	Mozabite	2	1,00
70406969	70506969	70456969	OGT	Mozabite	3	1,00
70436969	70536969	70486969	OGT	Mozabite	4	1,00
70466969	70566969	70516969	OGT	Mozabite	2	1,00
70496969	70596969	70546969	OGT	Mozabite	1	1,00
64998701	65098701	65048701	FUT8	NAN.Melanesian	2	1,00
70526969	70626969	70576969	OGT	Orcadian	1	1,00
70556969	70656969	70606969	OGT	Orcadian	1	1,00
70466969	70566969	70516969	OGT	Palestinian	2	1,00
70496969	70596969	70546969	OGT	Palestinian	1	1,00
70526969	70626969	70576969	OGT	Palestinian	1	1,00
70556969	70656969	70606969	OGT	Palestinian	1	1,00
64998701	65098701	65048701	FUT8	Papuan	5	1,00
68771490	68871490	68821490	SIAT4B	Papuan	2	1,00
68801490	68901490	68851490	SIAT4B	Papuan	2	1,00
68831490	68931490	68881490	SIAT4B	Papuan	3	1,00
70466969	70566969	70516969	OGT	Pathan	2	1,00
70496969	70596969	70546969	OGT	Pathan	1	1,00
70526969	70626969	70576969	OGT	Sindhi	1	1,00
70556969	70656969	70606969	OGT	Sindhi	1	1,00
70376969	70476969	70426969	OGT	Yakut	1	1,00
70406969	70506969	70456969	OGT	Yakut	1	1,00
70436969	70536969	70486969	OGT	Yakut	1	1,00
70376969	70476969	70426969	OGT	Yoruba	1	1,00
70406969	70506969	70456969	OGT	Yoruba	2	1,00
88038598	88138598	88088598	GALNT4	Mbuti.Pygmies	13	0,92
151634698	151734698	151684698	GALNT11_15	Biaka.Pygmies	12	0,92
74439815	74539815	74489815	GCNT4	Adygei	11	0,91
33247013	33347013	33297013	B4GALT1	Mbuti.Pygmies	11	0,91
151604698	151704698	151654698	GALNT11_15	San	10	0,90
74439815	74539815	74489815	GCNT4	Kalash	10	0,90
74439815	74539815	74489815	GCNT4	Orcadian	10	0,90
65058701	65158701	65108701	FUT8	Biaka.Pygmies	10	0,90
74439815	74539815	74489815	GCNT4	Sardinian	10	0,90
64998701	65098701	65048701	FUT8	Biaka.Pygmies	10	0,90
154055529	154155529	154105529	GALNT10	Mandenka	10	0,90
154055529	154155529	154105529	GALNT10	Sardinian	10	0,90
65058701	65158701	65108701	FUT8	Cambodian	10	0,90
74439815	74539815	74489815	GCNT4	North.East.China	10	0,90
18087176	18187176	18137176	B3GNT3	San	9	0,89
121281370	121381370	121331370	B3GNT4	Bantu	9	0,89
65028701	65128701	65078701	FUT8	Biaka.Pygmies	9	0,89
99965776	100065776	100015776	SIAT10	Kalash	9	0,89
30252171	30352171	30302171	FUT12	Yoruba	9	0,89
100310916	100410916	100360916	SIAT8D	Karitiana	9	0,89
153335529	153435529	153385529	GALNT10	Biaka.Pygmies	9	0,89
65148701	65248701	65198701	FUT8	Maya	9	0,89
33277013	33377013	33327013	B4GALT1	Biaka.Pygmies	9	0,89
174203751	174303751	174253751	GALNT7_17	Biaka.Pygmies	17	0,88
96233842	96333842	96283842	FUT9	Colombian	8	0,88
42864475	42964475	42914475	SIAT8E	San	8	0,88
42894475	42994475	42944475	SIAT8E	San	8	0,88
74469815	74569815	74519815	GCNT4	Adygei	8	0,88
75465452	75565452	75515452	FUT11	Biaka.Pygmies	8	0,88
30282171	30382171	30332171	FUT12	Yoruba	8	0,88
62030589	62130589	62080589	B3GNT2	Adygei	8	0,88
121311370	121411370	121361370	B3GNT4	Bantu	8	0,88
33277013	33377013	33327013	B4GALT1	Mbuti.Pygmies	8	0,88
64968701	65068701	65018701	FUT8	Pathan	8	0,88
154055529	154155529	154105529	GALNT10	Biaka.Pygmies	8	0,88
30282171	30382171	30332171	FUT12	Biaka.Pygmies	8	0,88
64968701	65068701	65018701	FUT8	Hazara	8	0,88
30132171	30232171	30182171	FUT12	Mbuti.Pygmies	8	0,88
64968701	65068701	65018701	FUT8	Yakut	8	0,88
65028701	65128701	65078701	FUT8	Cambodian	8	0,88
64968701	65068701	65018701	FUT8	Cambodian	8	0,88
64968701	65068701	65018701	FUT8	Japanese	7	0,86
33339383	33439383	33389383	FUT10	San	14	0,86
88128598	88228598	88178598	GALNT4	San	14	0,86
