#window.start	window.end	window.center	Gene	Population	nsnps,daf	daf,upper
191292115	191392115	191342115	B3GALT2	Balochi	1	1,00
74805452	74905452	74855452	FUT11	Balochi	4	1,00
70796969	70896969	70846969	OGT	Bedouin	1	1,00
70796969	70896969	70846969	OGT	Burusho	1	1,00
121371370	121471370	121421370	B3GNT4	Colombian	2	1,00
121581370	121681370	121631370	B3GNT4	Colombian	1	1,00
68621490	68721490	68671490	SIAT4B	Colombian	1	1,00
68651490	68751490	68701490	SIAT4B	Colombian	1	1,00
68681490	68781490	68731490	SIAT4B	Colombian	1	1,00
22367968	22467968	22417968	SIAT8A	Colombian	6	1,00
70796969	70896969	70846969	OGT	Druze	1	1,00
40058604	40158604	40108604	B3GALT5	Karitiana	12	1,00
66131040	66231040	66181040	B3GNT1	Karitiana	1	1,00
66161040	66261040	66211040	B3GNT1	Karitiana	1	1,00
172853751	172953751	172903751	GALNT7_17	Karitiana	6	1,00
172883751	172983751	172933751	GALNT7_17	Karitiana	5	1,00
131065942	131165942	131115942	GALNT9	Karitiana	3	1,00
69117775	69217775	69167775	GALNTL1	Karitiana	6	1,00
17844449	17944449	17894449	SIAT8F	Karitiana	1	1,00
70796969	70896969	70846969	OGT	Makrani	1	1,00
68681490	68781490	68731490	SIAT4B	Makrani	1	1,00
74895452	74995452	74945452	FUT11	Mandenka	2	1,00
74805452	74905452	74855452	FUT11	Maya	4	1,00
74955452	75055452	75005452	FUT11	Maya	3	1,00
69087775	69187775	69137775	GALNTL1	Maya	6	1,00
69117775	69217775	69167775	GALNTL1	Maya	6	1,00
70796969	70896969	70846969	OGT	Mozabite	1	1,00
70856969	70956969	70906969	OGT	Mozabite	1	1,00
70886969	70986969	70936969	OGT	Mozabite	1	1,00
70796969	70896969	70846969	OGT	Palestinian	1	1,00
70856969	70956969	70906969	OGT	Palestinian	1	1,00
70886969	70986969	70936969	OGT	Palestinian	1	1,00
70796969	70896969	70846969	OGT	Papuan	1	1,00
70946969	71046969	70996969	OGT	Papuan	4	1,00
70976969	71076969	71026969	OGT	Papuan	7	1,00
17844449	17944449	17894449	SIAT8F	Papuan	1	1,00
70796969	70896969	70846969	OGT	Pathan	1	1,00
70856969	70956969	70906969	OGT	Pathan	1	1,00
70886969	70986969	70936969	OGT	Pathan	1	1,00
157642879	157742879	157692879	GALNT5	Pima	6	1,00
69087775	69187775	69137775	GALNTL1	Pima	6	1,00
69117775	69217775	69167775	GALNTL1	Pima	6	1,00
70796969	70896969	70846969	OGT	Pima	1	1,00
70856969	70956969	70906969	OGT	Pima	1	1,00
70886969	70986969	70936969	OGT	Pima	1	1,00
151364698	151464698	151414698	GALNT11_15	Russian	3	1,00
70856969	70956969	70906969	OGT	Russian	1	1,00
70886969	70986969	70936969	OGT	Russian	1	1,00
33579383	33679383	33629383	FUT10	San	1	1,00
191202115	191302115	191252115	B3GALT2	Surui	2	1,00
191232115	191332115	191282115	B3GALT2	Surui	2	1,00
191262115	191362115	191312115	B3GALT2	Surui	2	1,00
191292115	191392115	191342115	B3GALT2	Surui	1	1,00
39608604	39708604	39658604	B3GALT5	Surui	9	1,00
62030589	62130589	62080589	B3GNT2	Surui	3	1,00
153335529	153435529	153385529	GALNT10	Surui	4	1,00
153365529	153465529	153415529	GALNT10	Surui	2	1,00
173723751	173823751	173773751	GALNT7_17	Surui	3	1,00
174503751	174603751	174553751	GALNT7_17	Surui	3	1,00
68907775	69007775	68957775	GALNTL1	Surui	3	1,00
134921015	135021015	134971015	SIAT4A	Surui	10	1,00
22247968	22347968	22297968	SIAT8A	Surui	10	1,00
22277968	22377968	22327968	SIAT8A	Surui	9	1,00
22307968	22407968	22357968	SIAT8A	Surui	8	1,00
22337968	22437968	22387968	SIAT8A	Surui	8	1,00
22367968	22467968	22417968	SIAT8A	Surui	6	1,00
91088449	91188449	91138449	SIAT8B	Surui	3	1,00
42624475	42724475	42674475	SIAT8E	Surui	8	1,00
68681490	68781490	68731490	SIAT4B	Yakut	1	1,00
74925452	75025452	74975452	FUT11	Yoruba	1	1,00
5562265	5662265	5612265	FUT5_6	NAN.Melanesian	5	1,00
22337968	22437968	22387968	SIAT8A	Karitiana	8	1,00
131005942	131105942	131055942	GALNT9	Japanese	1	1,00
5592265	5692265	5642265	FUT5_6	NAN.Melanesian	3	1,00
74985452	75085452	75035452	FUT11	Pima	5	1,00
74679815	74779815	74729815	GCNT4	NAN.Melanesian	4	1,00
75105452	75205452	75155452	FUT11	Sardinian	2	1,00
70976969	71076969	71026969	OGT	Druze	7	1,00
53611528	53711528	53661528	FUT1_2	Pima	4	1,00
70976969	71076969	71026969	OGT	Basque	7	1,00
70796969	70896969	70846969	OGT	Brahui	1	1,00
29982171	30082171	30032171	FUT12	Cambodian	8	1,00
70796969	70896969	70846969	OGT	Kalash	1	1,00
22367968	22467968	22417968	SIAT8A	Karitiana	6	1,00
157642879	157742879	157692879	GALNT5	Mbuti.Pygmies	4	1,00
70796969	70896969	70846969	OGT	Mbuti.Pygmies	1	1,00
17814449	17914449	17864449	SIAT8F	Papuan	2	1,00
22367968	22467968	22417968	SIAT8A	Pima	6	1,00
17814449	17914449	17864449	SIAT8F	Yakut	2	1,00
22337968	22437968	22387968	SIAT8A	Colombian	8	1,00
172913751	173013751	172963751	GALNT7_17	Pima	5	1,00
70946969	71046969	70996969	OGT	Basque	4	1,00
70946969	71046969	70996969	OGT	French	4	1,00
74805452	74905452	74855452	FUT11	Kalash	4	1,00
70976969	71076969	71026969	OGT	French	7	1,00
