#window.start	window.end	window.center	Gene	Population	nsnps,daf	daf,lower
191442115	191542115	191492115	B3GALT2	Adygei	6	0,666666667
62000589	62100589	62050589	B3GNT2	Adygei	7	0,714285714
62030589	62130589	62080589	B3GNT2	Adygei	8	0,875
62060589	62160589	62110589	B3GNT2	Adygei	6	0,833333333
62090589	62190589	62140589	B3GNT2	Adygei	5	0,8
33217013	33317013	33267013	B4GALT1	Adygei	11	0,818181818
33247013	33347013	33297013	B4GALT1	Adygei	7	0,714285714
120103382	120203382	120153382	B4GALT4	Adygei	13	0,615384615
74925452	75025452	74975452	FUT11	Adygei	4	0,75
30162171	30262171	30212171	FUT12	Adygei	8	0,625
30192171	30292171	30242171	FUT12	Adygei	7	0,714285714
30372171	30472171	30422171	FUT12	Adygei	3	0,666666667
30402171	30502171	30452171	FUT12	Adygei	3	0,666666667
53641528	53741528	53691528	FUT1_2	Adygei	5	0,8
64998701	65098701	65048701	FUT8	Adygei	8	0,625
154699031	154799031	154749031	GALNT13	Adygei	14	0,642857143
11876012	11976012	11926012	GALNT18	Adygei	36	0,611111111
88608598	88708598	88658598	GALNT4	Adygei	9	0,666666667
88638598	88738598	88688598	GALNT4	Adygei	11	0,727272727
50361968	50461968	50411968	GALNT6	Adygei	16	0,625
50391968	50491968	50441968	GALNT6	Adygei	13	0,615384615
172613751	172713751	172663751	GALNT7_17	Adygei	13	0,615384615
172763751	172863751	172813751	GALNT7_17	Adygei	13	0,615384615
173783751	173883751	173833751	GALNT7_17	Adygei	16	0,625
130975942	131075942	131025942	GALNT9	Adygei	6	0,666666667
131005942	131105942	131055942	GALNT9	Adygei	3	0,666666667
69057775	69157775	69107775	GALNTL1	Adygei	8	0,625
74409815	74509815	74459815	GCNT4	Adygei	12	0,833333333
74439815	74539815	74489815	GCNT4	Adygei	11	0,909090909
74469815	74569815	74519815	GCNT4	Adygei	8	0,875
74499815	74599815	74549815	GCNT4	Adygei	3	0,666666667
70526969	70626969	70576969	OGT	Adygei	1	1
70556969	70656969	70606969	OGT	Adygei	1	1
100025776	100125776	100075776	SIAT10	Adygei	5	0,6
44145707	44245707	44195707	SIAT6	Adygei	13	0,615384615
77037338	77137338	77087338	SIAT7C_E	Adygei	16	0,625
99830916	99930916	99880916	SIAT8D	Adygei	7	0,714285714
99860916	99960916	99910916	SIAT8D	Adygei	9	0,666666667
191172115	191272115	191222115	B3GALT2	Balochi	6	0,666666667
191442115	191542115	191492115	B3GALT2	Balochi	4	0,75
191472115	191572115	191522115	B3GALT2	Balochi	8	0,625
39488604	39588604	39538604	B3GALT5	Balochi	10	0,6
62030589	62130589	62080589	B3GNT2	Balochi	8	0,625
62060589	62160589	62110589	B3GNT2	Balochi	7	0,714285714
62090589	62190589	62140589	B3GNT2	Balochi	5	0,8
18027176	18127176	18077176	B3GNT3	Balochi	19	0,631578947
18057176	18157176	18107176	B3GNT3	Balochi	15	0,6
33217013	33317013	33267013	B4GALT1	Balochi	11	0,818181818
33247013	33347013	33297013	B4GALT1	Balochi	8	0,75
33277013	33377013	33327013	B4GALT1	Balochi	8	0,625
120103382	120203382	120153382	B4GALT4	Balochi	15	0,6
120133382	120233382	120183382	B4GALT4	Balochi	15	0,666666667
120613382	120713382	120663382	B4GALT4	Balochi	21	0,619047619
74925452	75025452	74975452	FUT11	Balochi	4	0,75
30162171	30262171	30212171	FUT12	Balochi	9	0,666666667
30192171	30292171	30242171	FUT12	Balochi	9	0,777777778
30372171	30472171	30422171	FUT12	Balochi	3	0,666666667
30402171	30502171	30452171	FUT12	Balochi	3	0,666666667
53641528	53741528	53691528	FUT1_2	Balochi	5	0,8
93543691	93643691	93593691	FUT4	Balochi	16	0,8125
64968701	65068701	65018701	FUT8	Balochi	10	0,7
64998701	65098701	65048701	FUT8	Balochi	11	0,727272727
65028701	65128701	65078701	FUT8	Balochi	11	0,636363636
65178701	65278701	65228701	FUT8	Balochi	8	0,625
154055529	154155529	154105529	GALNT10	Balochi	13	0,692307692
151394698	151494698	151444698	GALNT11_15	Balochi	6	0,666666667
100392055	100492055	100442055	GALNT12	Balochi	30	0,6
100782055	100882055	100832055	GALNT12	Balochi	31	0,612903226
100812055	100912055	100862055	GALNT12	Balochi	28	0,642857143
100842055	100942055	100892055	GALNT12	Balochi	22	0,681818182
154699031	154799031	154749031	GALNT13	Balochi	15	0,666666667
30596900	30696900	30646900	GALNT14	Balochi	14	0,785714286
228160183	228260183	228210183	GALNT2	Balochi	18	0,611111111
228190183	228290183	228240183	GALNT2	Balochi	18	0,611111111
228370183	228470183	228420183	GALNT2	Balochi	20	0,65
88608598	88708598	88658598	GALNT4	Balochi	9	0,666666667
88638598	88738598	88688598	GALNT4	Balochi	11	0,727272727
88668598	88768598	88718598	GALNT4	Balochi	12	0,666666667
157432879	157532879	157482879	GALNT5	Balochi	15	0,666666667
173423751	173523751	173473751	GALNT7_17	Balochi	13	0,615384615
130975942	131075942	131025942	GALNT9	Balochi	6	0,666666667
131005942	131105942	131055942	GALNT9	Balochi	3	0,666666667
74409815	74509815	74459815	GCNT4	Balochi	11	0,636363636
74439815	74539815	74489815	GCNT4	Balochi	11	0,727272727
74469815	74569815	74519815	GCNT4	Balochi	8	0,625
70526969	70626969	70576969	OGT	Balochi	1	1
70556969	70656969	70606969	OGT	Balochi	1	1
187945465	188045465	187995465	SIAT1	Balochi	25	0,64
99965776	100065776	100015776	SIAT10	Balochi	10	0,6
99995776	100095776	100045776	SIAT10	Balochi	9	0,666666667
100025776	100125776	100075776	SIAT10	Balochi	5	0,6
68771490	68871490	68821490	SIAT4B	Balochi	3	0,666666667
68801490	68901490	68851490	SIAT4B	Balochi	3	0,666666667
68831490	68931490	68881490	SIAT4B	Balochi	4	0,75
68891490	68991490	68941490	SIAT4B	Balochi	5	0,6
99830916	99930916	99880916	SIAT8D	Balochi	6	0,666666667
99860916	99960916	99910916	SIAT8D	Balochi	8	0,625
100010916	100110916	100060916	SIAT8D	Balochi	15	0,6
100130916	100230916	100180916	SIAT8D	Balochi	15	0,666666667
100160916	100260916	100210916	SIAT8D	Balochi	16	0,6875
17724449	17824449	17774449	SIAT8F	Balochi	22	0,636363636
17754449	17854449	17804449	SIAT8F	Balochi	17	0,705882353
17784449	17884449	17834449	SIAT8F	Balochi	12	0,75
191172115	191272115	191222115	B3GALT2	Bantu	8	0,75
191202115	191302115	191252115	B3GALT2	Bantu	6	0,666666667
39458604	39558604	39508604	B3GALT5	Bantu	9	0,666666667
39488604	39588604	39538604	B3GALT5	Bantu	8	0,75
39518604	39618604	39568604	B3GALT5	Bantu	7	0,714285714
65711040	65811040	65761040	B3GNT1	Bantu	7	0,714285714
65741040	65841040	65791040	B3GNT1	Bantu	10	0,6
65951040	66051040	66001040	B3GNT1	Bantu	11	0,636363636
65981040	66081040	66031040	B3GNT1	Bantu	12	0,666666667
66011040	66111040	66061040	B3GNT1	Bantu	16	0,6875
66041040	66141040	66091040	B3GNT1	Bantu	9	0,777777778
66071040	66171040	66121040	B3GNT1	Bantu	8	0,75
62000589	62100589	62050589	B3GNT2	Bantu	8	0,625
62030589	62130589	62080589	B3GNT2	Bantu	9	0,777777778
62060589	62160589	62110589	B3GNT2	Bantu	7	0,714285714
62090589	62190589	62140589	B3GNT2	Bantu	5	0,8
17517176	17617176	17567176	B3GNT3	Bantu	16	0,625
17847176	17947176	17897176	B3GNT3	Bantu	14	0,714285714
17877176	17977176	17927176	B3GNT3	Bantu	18	0,722222222
120861370	120961370	120911370	B3GNT4	Bantu	12	0,666666667
120891370	120991370	120941370	B3GNT4	Bantu	9	0,666666667
120921370	121021370	120971370	B3GNT4	Bantu	5	0,6
121251370	121351370	121301370	B3GNT4	Bantu	6	0,833333333
121281370	121381370	121331370	B3GNT4	Bantu	9	0,888888889
121311370	121411370	121361370	B3GNT4	Bantu	8	0,875
121341370	121441370	121391370	B3GNT4	Bantu	7	0,857142857
121371370	121471370	121421370	B3GNT4	Bantu	3	0,666666667
121521370	121621370	121571370	B3GNT4	Bantu	8	0,625
121581370	121681370	121631370	B3GNT4	Bantu	4	0,75
76354680	76454680	76404680	B3GNT6	Bantu	10	0,6
32917013	33017013	32967013	B4GALT1	Bantu	20	0,6
33307013	33407013	33357013	B4GALT1	Bantu	10	0,6
159281585	159381585	159331585	B4GALT3	Bantu	8	0,625
120403382	120503382	120453382	B4GALT4	Bantu	24	0,75
119307737	119407737	119357737	C1GALT1C1	Bantu	13	0,692307692
119337737	119437737	119387737	C1GALT1C1	Bantu	16	0,6875
119367737	119467737	119417737	C1GALT1C1	Bantu	17	0,764705882
119397737	119497737	119447737	C1GALT1C1	Bantu	13	0,692307692
119427737	119527737	119477737	C1GALT1C1	Bantu	12	0,75
119457737	119557737	119507737	C1GALT1C1	Bantu	9	0,666666667
119487737	119587737	119537737	C1GALT1C1	Bantu	8	0,75
119517737	119617737	119567737	C1GALT1C1	Bantu	5	0,8
119547737	119647737	119597737	C1GALT1C1	Bantu	7	0,714285714
119577737	119677737	119627737	C1GALT1C1	Bantu	7	0,714285714
119757737	119857737	119807737	C1GALT1C1	Bantu	25	0,6
33069383	33169383	33119383	FUT10	Bantu	11	0,727272727
33279383	33379383	33329383	FUT10	Bantu	15	0,6
75435452	75535452	75485452	FUT11	Bantu	10	0,7
75465452	75565452	75515452	FUT11	Bantu	8	0,625
30132171	30232171	30182171	FUT12	Bantu	10	0,6
30192171	30292171	30242171	FUT12	Bantu	10	0,6
30222171	30322171	30272171	FUT12	Bantu	8	0,625
30252171	30352171	30302171	FUT12	Bantu	9	0,777777778
30282171	30382171	30332171	FUT12	Bantu	8	0,75
30372171	30472171	30422171	FUT12	Bantu	5	0,6
30402171	30502171	30452171	FUT12	Bantu	5	0,6
30612171	30712171	30662171	FUT12	Bantu	13	0,615384615
53641528	53741528	53691528	FUT1_2	Bantu	5	0,6
54001528	54101528	54051528	FUT1_2	Bantu	14	0,642857143
93543691	93643691	93593691	FUT4	Bantu	21	0,714285714
93573691	93673691	93623691	FUT4	Bantu	17	0,705882353
6102265	6202265	6152265	FUT5_6	Bantu	13	0,615384615
6132265	6232265	6182265	FUT5_6	Bantu	15	0,666666667
64968701	65068701	65018701	FUT8	Bantu	9	0,666666667
64998701	65098701	65048701	FUT8	Bantu	10	0,6
65028701	65128701	65078701	FUT8	Bantu	10	0,6
96743842	96843842	96793842	FUT9	Bantu	18	0,666666667
96773842	96873842	96823842	FUT9	Bantu	23	0,695652174
96803842	96903842	96853842	FUT9	Bantu	21	0,714285714
96833842	96933842	96883842	FUT9	Bantu	16	0,75
96863842	96963842	96913842	FUT9	Bantu	17	0,705882353
96893842	96993842	96943842	FUT9	Bantu	22	0,636363636
31090883	31190883	31140883	GALNT1	Bantu	15	0,666666667
31120883	31220883	31170883	GALNT1	Bantu	15	0,6
153335529	153435529	153385529	GALNT10	Bantu	12	0,666666667
153875529	153975529	153925529	GALNT10	Bantu	17	0,647058824
151394698	151494698	151444698	GALNT11_15	Bantu	9	0,666666667
100212055	100312055	100262055	GALNT12	Bantu	34	0,617647059
155209031	155309031	155259031	GALNT13	Bantu	23	0,608695652
30596900	30696900	30646900	GALNT14	Bantu	14	0,642857143
11756012	11856012	11806012	GALNT18	Bantu	27	0,666666667
11786012	11886012	11836012	GALNT18	Bantu	18	0,722222222
11816012	11916012	11866012	GALNT18	Bantu	12	0,666666667
88098598	88198598	88148598	GALNT4	Bantu	16	0,625
88128598	88228598	88178598	GALNT4	Bantu	18	0,611111111
88428598	88528598	88478598	GALNT4	Bantu	18	0,666666667
88458598	88558598	88508598	GALNT4	Bantu	16	0,625
88488598	88588598	88538598	GALNT4	Bantu	15	0,733333333
88518598	88618598	88568598	GALNT4	Bantu	12	0,75
88548598	88648598	88598598	GALNT4	Bantu	11	0,636363636
88608598	88708598	88658598	GALNT4	Bantu	11	0,636363636
88638598	88738598	88688598	GALNT4	Bantu	13	0,615384615
173543751	173643751	173593751	GALNT7_17	Bantu	13	0,615384615
174203751	174303751	174253751	GALNT7_17	Bantu	17	0,647058824
174503751	174603751	174553751	GALNT7_17	Bantu	10	0,6
174713751	174813751	174763751	GALNT7_17	Bantu	13	0,615384615
4903650	5003650	4953650	GALNT8	Bantu	42	0,595238095
