#window.start	window.end	window.center	Gene	Population	nsnps.maf	maf,lower
151364698	151464698	151414698	GALNT11_15	Adygei	4	1,000
157882879	157982879	157932879	GALNT5	Adygei	7	1,000
69057775	69157775	69107775	GALNTL1	Adygei	9	1,000
70526969	70626969	70576969	OGT	Adygei	1	1,000
70556969	70656969	70606969	OGT	Adygei	1	1,000
70796969	70896969	70846969	OGT	Adygei	2	1,000
70856969	70956969	70906969	OGT	Adygei	1	1,000
70886969	70986969	70936969	OGT	Adygei	1	1,000
70916969	71016969	70966969	OGT	Adygei	3	1,000
151364698	151464698	151414698	GALNT11_15	Balochi	6	1,000
151394698	151494698	151444698	GALNT11_15	Balochi	7	1,000
151544698	151644698	151594698	GALNT11_15	Balochi	1	1,000
151574698	151674698	151624698	GALNT11_15	Balochi	9	1,000
70526969	70626969	70576969	OGT	Balochi	1	1,000
70556969	70656969	70606969	OGT	Balochi	1	1,000
74805452	74905452	74855452	FUT11	Basque	2	1,000
74835452	74935452	74885452	FUT11	Basque	1	1,000
74865452	74965452	74915452	FUT11	Basque	1	1,000
151364698	151464698	151414698	GALNT11_15	Basque	1	1,000
151394698	151494698	151444698	GALNT11_15	Basque	2	1,000
70466969	70566969	70516969	OGT	Basque	2	1,000
70496969	70596969	70546969	OGT	Basque	1	1,000
70526969	70626969	70576969	OGT	Basque	1	1,000
70556969	70656969	70606969	OGT	Basque	1	1,000
70586969	70686969	70636969	OGT	Basque	3	1,000
70616969	70716969	70666969	OGT	Basque	2	1,000
70646969	70746969	70696969	OGT	Basque	2	1,000
70766969	70866969	70816969	OGT	Basque	1	1,000
151364698	151464698	151414698	GALNT11_15	Bedouin	9	1,000
151394698	151494698	151444698	GALNT11_15	Bedouin	10	1,000
151544698	151644698	151594698	GALNT11_15	Bedouin	2	1,000
151574698	151674698	151624698	GALNT11_15	Bedouin	10	1,000
70466969	70566969	70516969	OGT	Bedouin	2	1,000
70496969	70596969	70546969	OGT	Bedouin	1	1,000
70526969	70626969	70576969	OGT	Bedouin	1	1,000
70556969	70656969	70606969	OGT	Bedouin	1	1,000
74805452	74905452	74855452	FUT11	Brahui	5	1,000
74835452	74935452	74885452	FUT11	Brahui	3	1,000
74865452	74965452	74915452	FUT11	Brahui	3	1,000
151364698	151464698	151414698	GALNT11_15	Brahui	6	1,000
151394698	151494698	151444698	GALNT11_15	Brahui	7	1,000
151544698	151644698	151594698	GALNT11_15	Brahui	2	1,000
70466969	70566969	70516969	OGT	Brahui	2	1,000
70496969	70596969	70546969	OGT	Brahui	1	1,000
62060589	62160589	62110589	B3GNT2	Burusho	7	1,000
62090589	62190589	62140589	B3GNT2	Burusho	5	1,000
151364698	151464698	151414698	GALNT11_15	Burusho	4	1,000
151544698	151644698	151594698	GALNT11_15	Burusho	2	1,000
70526969	70626969	70576969	OGT	Burusho	1	1,000
70556969	70656969	70606969	OGT	Burusho	1	1,000
17814449	17914449	17864449	SIAT8F	Burusho	4	1,000
64998701	65098701	65048701	FUT8	Cambodian	8	1,000
22397968	22497968	22447968	SIAT8A	Cambodian	5	1,000
191172115	191272115	191222115	B3GALT2	Colombian	1	1,000
75525452	75625452	75575452	FUT11	Colombian	4	1,000
97073842	97173842	97123842	FUT9	Colombian	3	1,000
151334698	151434698	151384698	GALNT11_15	Colombian	4	1,000
151544698	151644698	151594698	GALNT11_15	Colombian	2	1,000
68607775	68707775	68657775	GALNTL1	Colombian	5	1,000
134951015	135051015	135001015	SIAT4A	Colombian	7	1,000
72004592	72104592	72054592	SIAT7A_B	Colombian	1	1,000
17844449	17944449	17894449	SIAT8F	Colombian	1	1,000
151544698	151644698	151594698	GALNT11_15	Druze	1	1,000
70856969	70956969	70906969	OGT	Druze	1	1,000
70886969	70986969	70936969	OGT	Druze	1	1,000
70916969	71016969	70966969	OGT	Druze	2	1,000
70946969	71046969	70996969	OGT	Druze	2	1,000
74805452	74905452	74855452	FUT11	French	5	1,000
74835452	74935452	74885452	FUT11	French	3	1,000
74865452	74965452	74915452	FUT11	French	3	1,000
151364698	151464698	151414698	GALNT11_15	French	1	1,000
70526969	70626969	70576969	OGT	French	1	1,000
70556969	70656969	70606969	OGT	French	1	1,000
70586969	70686969	70636969	OGT	French	4	1,000
70616969	70716969	70666969	OGT	French	3	1,000
70646969	70746969	70696969	OGT	French	3	1,000
70796969	70896969	70846969	OGT	French	1	1,000
68607775	68707775	68657775	GALNTL1	Han	7	1,000
151544698	151644698	151594698	GALNT11_15	Hazara	2	1,000
151574698	151674698	151624698	GALNT11_15	Hazara	11	1,000
157432879	157532879	157482879	GALNT5	Hazara	8	1,000
70526969	70626969	70576969	OGT	Hazara	1	1,000
70556969	70656969	70606969	OGT	Hazara	1	1,000
30042171	30142171	30092171	FUT12	Japanese	12	1,000
68607775	68707775	68657775	GALNTL1	Japanese	7	1,000
22397968	22497968	22447968	SIAT8A	Japanese	5	1,000
22427968	22527968	22477968	SIAT8A	Japanese	4	1,000
22457968	22557968	22507968	SIAT8A	Japanese	7	1,000
22487968	22587968	22537968	SIAT8A	Japanese	6	1,000
151544698	151644698	151594698	GALNT11_15	Kalash	2	1,000
151574698	151674698	151624698	GALNT11_15	Kalash	10	1,000
70526969	70626969	70576969	OGT	Kalash	1	1,000
70556969	70656969	70606969	OGT	Kalash	1	1,000
70856969	70956969	70906969	OGT	Kalash	1	1,000
70886969	70986969	70936969	OGT	Kalash	1	1,000
70916969	71016969	70966969	OGT	Kalash	3	1,000
191172115	191272115	191222115	B3GALT2	Karitiana	1	1,000
39638604	39738604	39688604	B3GALT5	Karitiana	1	1,000
39668604	39768604	39718604	B3GALT5	Karitiana	1	1,000
39818604	39918604	39868604	B3GALT5	Karitiana	2	1,000
97073842	97173842	97123842	FUT9	Karitiana	3	1,000
31090883	31190883	31140883	GALNT1	Karitiana	11	1,000
31120883	31220883	31170883	GALNT1	Karitiana	10	1,000
44385707	44485707	44435707	SIAT6	Karitiana	3	1,000
44415707	44515707	44465707	SIAT6	Karitiana	3	1,000
44445707	44545707	44495707	SIAT6	Karitiana	4	1,000
44475707	44575707	44525707	SIAT6	Karitiana	2	1,000
71704592	71804592	71754592	SIAT7A_B	Karitiana	6	1,000
