window.start	window.end	window.center	Gene	Population	nsnps.maf	maf,upper
167982253	168082253	168032253	B3GALT1	Adygei	8	0,500
168012253	168112253	168062253	B3GALT1	Adygei	8	0,500
66041040	66141040	66091040	B3GNT1	Adygei	12	0,500
66071040	66171040	66121040	B3GNT1	Adygei	11	0,545
120891370	120991370	120941370	B3GNT4	Adygei	9	0,444
120921370	121021370	120971370	B3GNT4	Adygei	7	0,571
120951370	121051370	121001370	B3GNT4	Adygei	6	0,667
121101370	121201370	121151370	B3GNT4	Adygei	7	0,571
121131370	121231370	121181370	B3GNT4	Adygei	12	0,500
121521370	121621370	121571370	B3GNT4	Adygei	11	0,455
184362970	184462970	184412970	B3GNT5	Adygei	14	0,571
184392970	184492970	184442970	B3GNT5	Adygei	12	0,667
76234680	76334680	76284680	B3GNT6	Adygei	8	0,750
76264680	76364680	76314680	B3GNT6	Adygei	5	1,000
76294680	76394680	76344680	B3GNT6	Adygei	6	0,667
33097013	33197013	33147013	B4GALT1	Adygei	21	0,524
120193382	120293382	120243382	B4GALT4	Adygei	15	0,467
120223382	120323382	120273382	B4GALT4	Adygei	15	0,467
6896187	6996187	6946187	C1GALT1	Adygei	4	0,500
33099383	33199383	33149383	FUT10	Adygei	8	0,625
33129383	33229383	33179383	FUT10	Adygei	7	0,857
33159383	33259383	33209383	FUT10	Adygei	14	0,857
33189383	33289383	33239383	FUT10	Adygei	11	0,909
33219383	33319383	33269383	FUT10	Adygei	15	0,667
33249383	33349383	33299383	FUT10	Adygei	13	0,462
33369383	33469383	33419383	FUT10	Adygei	13	0,462
33429383	33529383	33479383	FUT10	Adygei	13	0,538
33459383	33559383	33509383	FUT10	Adygei	15	0,867
33489383	33589383	33539383	FUT10	Adygei	15	0,800
33519383	33619383	33569383	FUT10	Adygei	14	0,714
33549383	33649383	33599383	FUT10	Adygei	9	0,444
75075452	75175452	75125452	FUT11	Adygei	3	0,667
75105452	75205452	75155452	FUT11	Adygei	4	0,500
53821528	53921528	53871528	FUT1_2	Adygei	13	0,615
53851528	53951528	53901528	FUT1_2	Adygei	23	0,696
53881528	53981528	53931528	FUT1_2	Adygei	24	0,625
54181528	54281528	54231528	FUT1_2	Adygei	14	0,500
54211528	54311528	54261528	FUT1_2	Adygei	15	0,467
45379454	45479454	45429454	FUT13	Adygei	22	0,455
138804524	138904524	138854524	FUT7	Adygei	9	0,444
138834524	138934524	138884524	FUT7	Adygei	7	0,571
138864524	138964524	138914524	FUT7	Adygei	8	0,625
138894524	138994524	138944524	FUT7	Adygei	10	0,500
64878701	64978701	64928701	FUT8	Adygei	21	0,476
64908701	65008701	64958701	FUT8	Adygei	15	0,600
64938701	65038701	64988701	FUT8	Adygei	12	0,667
64968701	65068701	65018701	FUT8	Adygei	6	0,500
64998701	65098701	65048701	FUT8	Adygei	9	0,444
