# window.start	window.end	window.center	Gene	Population	nsnps,daf	daf,upper
167982253	168082253	168032253	B3GALT1	Adygei	9	0.333333333
168012253	168112253	168062253	B3GALT1	Adygei	10	0.3
168042253	168142253	168092253	B3GALT1	Adygei	13	0.076923077
168072253	168172253	168122253	B3GALT1	Adygei	20	0.1
168102253	168202253	168152253	B3GALT1	Adygei	23	0.130434783
168132253	168232253	168182253	B3GALT1	Adygei	26	0.230769231
168162253	168262253	168212253	B3GALT1	Adygei	28	0.25
168192253	168292253	168242253	B3GALT1	Adygei	33	0.212121212
168222253	168322253	168272253	B3GALT1	Adygei	40	0.15
168252253	168352253	168302253	B3GALT1	Adygei	39	0.102564103
168282253	168382253	168332253	B3GALT1	Adygei	39	0.179487179
168312253	168412253	168362253	B3GALT1	Adygei	24	0.208333333
168342253	168442253	168392253	B3GALT1	Adygei	24	0.208333333
168372253	168472253	168422253	B3GALT1	Adygei	17	0.117647059
168402253	168502253	168452253	B3GALT1	Adygei	17	0.117647059
168432253	168532253	168482253	B3GALT1	Adygei	17	0.117647059
168462253	168562253	168512253	B3GALT1	Adygei	17	0.117647059
168492253	168592253	168542253	B3GALT1	Adygei	15	0.2
168522253	168622253	168572253	B3GALT1	Adygei	16	0.125
168552253	168652253	168602253	B3GALT1	Adygei	16	0.25
168582253	168682253	168632253	B3GALT1	Adygei	18	0.166666667
168612253	168712253	168662253	B3GALT1	Adygei	23	0.130434783
168642253	168742253	168692253	B3GALT1	Adygei	32	0.09375
168672253	168772253	168722253	B3GALT1	Adygei	27	0.037037037
168702253	168802253	168752253	B3GALT1	Adygei	27	0
168732253	168832253	168782253	B3GALT1	Adygei	19	0.052631579
191022115	191122115	191072115	B3GALT2	Adygei	16	0.0625
191052115	191152115	191102115	B3GALT2	Adygei	10	0.1
191082115	191182115	191132115	B3GALT2	Adygei	15	0.066666667
191112115	191212115	191162115	B3GALT2	Adygei	16	0.125
191142115	191242115	191192115	B3GALT2	Adygei	13	0.153846154
191172115	191272115	191222115	B3GALT2	Adygei	6	0.166666667
191202115	191302115	191252115	B3GALT2	Adygei	5	0
191232115	191332115	191282115	B3GALT2	Adygei	4	0
191262115	191362115	191312115	B3GALT2	Adygei	3	0
191292115	191392115	191342115	B3GALT2	Adygei	2	0
191322115	191422115	191372115	B3GALT2	Adygei	5	0
191352115	191452115	191402115	B3GALT2	Adygei	7	0.142857143
191382115	191482115	191432115	B3GALT2	Adygei	9	0.111111111
191412115	191512115	191462115	B3GALT2	Adygei	6	0.166666667
191442115	191542115	191492115	B3GALT2	Adygei	6	0
191472115	191572115	191522115	B3GALT2	Adygei	9	0
191502115	191602115	191552115	B3GALT2	Adygei	10	0
191532115	191632115	191582115	B3GALT2	Adygei	9	0
191562115	191662115	191612115	B3GALT2	Adygei	8	0
191592115	191692115	191642115	B3GALT2	Adygei	6	0.166666667
191622115	191722115	191672115	B3GALT2	Adygei	17	0.176470588
191652115	191752115	191702115	B3GALT2	Adygei	24	0.125
191682115	191782115	191732115	B3GALT2	Adygei	26	0.115384615
191712115	191812115	191762115	B3GALT2	Adygei	20	0.1
191742115	191842115	191792115	B3GALT2	Adygei	11	0.272727273
39458604	39558604	39508604	B3GALT5	Adygei	11	0
39488604	39588604	39538604	B3GALT5	Adygei	9	0
39518604	39618604	39568604	B3GALT5	Adygei	7	0
39548604	39648604	39598604	B3GALT5	Adygei	12	0
39578604	39678604	39628604	B3GALT5	Adygei	12	0.083333333
39608604	39708604	39658604	B3GALT5	Adygei	18	0.055555556
39638604	39738604	39688604	B3GALT5	Adygei	17	0.058823529
39668604	39768604	39718604	B3GALT5	Adygei	20	0
39698604	39798604	39748604	B3GALT5	Adygei	18	0
39728604	39828604	39778604	B3GALT5	Adygei	23	0.043478261
39758604	39858604	39808604	B3GALT5	Adygei	25	0.04
39788604	39888604	39838604	B3GALT5	Adygei	28	0.035714286
39818604	39918604	39868604	B3GALT5	Adygei	34	0.029411765
39848604	39948604	39898604	B3GALT5	Adygei	31	0.064516129
39878604	39978604	39928604	B3GALT5	Adygei	39	0.076923077
39908604	40008604	39958604	B3GALT5	Adygei	36	0.111111111
