# window.start	window.end	window.center	Gene	Population	nsnps.maf	maf,lower
167982253	168082253	168032253	B3GALT1	Adygei	8	0.375
168012253	168112253	168062253	B3GALT1	Adygei	8	0.125
168042253	168142253	168092253	B3GALT1	Adygei	14	0.142857143
168072253	168172253	168122253	B3GALT1	Adygei	20	0.2
168102253	168202253	168152253	B3GALT1	Adygei	23	0.217391304
168132253	168232253	168182253	B3GALT1	Adygei	24	0.166666667
168162253	168262253	168212253	B3GALT1	Adygei	26	0.153846154
168192253	168292253	168242253	B3GALT1	Adygei	31	0.064516129
168222253	168322253	168272253	B3GALT1	Adygei	40	0.1
168252253	168352253	168302253	B3GALT1	Adygei	42	0.071428571
168282253	168382253	168332253	B3GALT1	Adygei	45	0.133333333
168312253	168412253	168362253	B3GALT1	Adygei	29	0.103448276
168342253	168442253	168392253	B3GALT1	Adygei	28	0.214285714
168372253	168472253	168422253	B3GALT1	Adygei	19	0.315789474
168402253	168502253	168452253	B3GALT1	Adygei	17	0.529411765
168432253	168532253	168482253	B3GALT1	Adygei	18	0.333333333
168462253	168562253	168512253	B3GALT1	Adygei	17	0.176470588
168492253	168592253	168542253	B3GALT1	Adygei	17	0.117647059
168522253	168622253	168572253	B3GALT1	Adygei	18	0.111111111
168552253	168652253	168602253	B3GALT1	Adygei	15	0.266666667
168582253	168682253	168632253	B3GALT1	Adygei	20	0.2
168612253	168712253	168662253	B3GALT1	Adygei	24	0.125
168642253	168742253	168692253	B3GALT1	Adygei	34	0.058823529
168672253	168772253	168722253	B3GALT1	Adygei	29	0.034482759
168702253	168802253	168752253	B3GALT1	Adygei	28	0.035714286
168732253	168832253	168782253	B3GALT1	Adygei	20	0.05
191022115	191122115	191072115	B3GALT2	Adygei	16	0.125
191052115	191152115	191102115	B3GALT2	Adygei	10	0
191082115	191182115	191132115	B3GALT2	Adygei	16	0.0625
191112115	191212115	191162115	B3GALT2	Adygei	16	0.0625
191142115	191242115	191192115	B3GALT2	Adygei	13	0.076923077
191172115	191272115	191222115	B3GALT2	Adygei	6	0.166666667
191202115	191302115	191252115	B3GALT2	Adygei	6	0.333333333
191232115	191332115	191282115	B3GALT2	Adygei	5	0.4
191262115	191362115	191312115	B3GALT2	Adygei	4	0.25
191292115	191392115	191342115	B3GALT2	Adygei	3	0.333333333
191322115	191422115	191372115	B3GALT2	Adygei	5	0
191352115	191452115	191402115	B3GALT2	Adygei	7	0.142857143
191382115	191482115	191432115	B3GALT2	Adygei	9	0.222222222
191412115	191512115	191462115	B3GALT2	Adygei	6	0.333333333
191442115	191542115	191492115	B3GALT2	Adygei	6	0.333333333
191472115	191572115	191522115	B3GALT2	Adygei	9	0.333333333
191502115	191602115	191552115	B3GALT2	Adygei	10	0.3
191532115	191632115	191582115	B3GALT2	Adygei	9	0.222222222
191562115	191662115	191612115	B3GALT2	Adygei	9	0.222222222
191592115	191692115	191642115	B3GALT2	Adygei	7	0
191622115	191722115	191672115	B3GALT2	Adygei	18	0.111111111
191652115	191752115	191702115	B3GALT2	Adygei	24	0.125
191682115	191782115	191732115	B3GALT2	Adygei	26	0.153846154
191712115	191812115	191762115	B3GALT2	Adygei	20	0.15
191742115	191842115	191792115	B3GALT2	Adygei	11	0.090909091
39458604	39558604	39508604	B3GALT5	Adygei	11	0
39488604	39588604	39538604	B3GALT5	Adygei	9	0
39518604	39618604	39568604	B3GALT5	Adygei	8	0
39548604	39648604	39598604	B3GALT5	Adygei	13	0.076923077
39578604	39678604	39628604	B3GALT5	Adygei	13	0.153846154
39608604	39708604	39658604	B3GALT5	Adygei	19	0.157894737
39638604	39738604	39688604	B3GALT5	Adygei	17	0.176470588
39668604	39768604	39718604	B3GALT5	Adygei	22	0.045454545
39698604	39798604	39748604	B3GALT5	Adygei	21	0.095238095
39728604	39828604	39778604	B3GALT5	Adygei	26	0.192307692
39758604	39858604	39808604	B3GALT5	Adygei	27	0.222222222
39788604	39888604	39838604	B3GALT5	Adygei	33	0.212121212
39818604	39918604	39868604	B3GALT5	Adygei	39	0.076923077
39848604	39948604	39898604	B3GALT5	Adygei	37	0.081081081
39878604	39978604	39928604	B3GALT5	Adygei	42	0.119047619
39908604	40008604	39958604	B3GALT5	Adygei	40	0.2
39938604	40038604	39988604	B3GALT5	Adygei	39	0.230769231
39968604	40068604	40018604	B3GALT5	Adygei	36	0.138888889
39998604	40098604	40048604	B3GALT5	Adygei	36	0.166666667
40028604	40128604	40078604	B3GALT5	Adygei	32	0.125
40058604	40158604	40108604	B3GALT5	Adygei	34	0.147058824
40088604	40188604	40138604	B3GALT5	Adygei	34	0.176470588
40118604	40218604	40168604	B3GALT5	Adygei	50	0.26
40148604	40248604	40198604	B3GALT5	Adygei	51	0.196078431
40178604	40278604	40228604	B3GALT5	Adygei	56	0.178571429
40208604	40308604	40258604	B3GALT5	Adygei	47	0.021276596
40238604	40338604	40288604	B3GALT5	Adygei	44	0.022727273
40268604	40368604	40318604	B3GALT5	Adygei	36	0.111111111
65471040	65571040	65521040	B3GNT1	Adygei	16	0.125
65501040	65601040	65551040	B3GNT1	Adygei	17	0.117647059
65531040	65631040	65581040	B3GNT1	Adygei	12	0.083333333
65561040	65661040	65611040	B3GNT1	Adygei	10	0
65591040	65691040	65641040	B3GNT1	Adygei	9	0
65621040	65721040	65671040	B3GNT1	Adygei	9	0
65651040	65751040	65701040	B3GNT1	Adygei	8	0
65681040	65781040	65731040	B3GNT1	Adygei	8	0.125
65711040	65811040	65761040	B3GNT1	Adygei	7	0.285714286
65741040	65841040	65791040	B3GNT1	Adygei	12	0.166666667
65771040	65871040	65821040	B3GNT1	Adygei	9	0.111111111
65801040	65901040	65851040	B3GNT1	Adygei	9	0
65831040	65931040	65881040	B3GNT1	Adygei	5	0
65861040	65961040	65911040	B3GNT1	Adygei	7	0.142857143
